City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,kanniyakumari,8.0833,77.5667,32.14,74,73,9.5,IN,1719641186
84,tolanaro,-25.0319,46.9987,18.04,77,40,6.17,MG,1719641188
85,kukawa,12.9234,13.5606,29.75,47,85,2.16,NG,1719641190
86,ta`u,-14.2336,-169.5144,27.64,82,33,8.42,AS,1719641191
87,palmer,42.1584,-72.3287,16.96,71,100,2.06,US,1719641193
88,kourou,5.1552,-52.6478,24.03,92,69,2.2,GF,1719641195
89,salinas,36.6777,-121.6555,14.12,93,100,4.12,US,1719641196
90,charlestown,-32.95,151.6667,19.88,63,11,0.45,AU,1719641198
91,necochea,-38.5473,-58.7368,6.73,67,99,10.65,AR,1719641185
92,mahibadhoo,3.7833,72.9667,28.11,76,83,1.79,MV,1719641202
93,bilibino,68.0546,166.4372,18.68,47,98,2.08,RU,1719641203
94,margaret river,-33.95,115.0667,16.9,41,17,1.43,AU,1719640924
95,dengzhou,37.8086,120.7508,25.9,64,93,6.96,CN,1719641207
96,lebu,-37.6167,-73.65,6.1,71,96,3.07,CL,1719641208
97,waingapu,-9.6567,120.2641,30.61,61,18,7.15,ID,1719641210
98,atafu village,-8.5421,-172.5159,28.61,77,17,7.83,TK,1719641212
99,chonchi,-42.6128,-73.8092,4.51,91,94,0.86,CL,1719641213
100,olyokminsk,60.3736,120.4264,25.34,22,0,0.65,RU,1719641215
101,longyearbyen,78.2186,15.6401,6.91,61,75,6.69,SJ,1719641217
102,novyy urgal,51.0736,132.5642,22.54,67,90,2.94,RU,1719641219
103,terra santa,-2.1042,-56.4869,23.31,74,3,1.33,BR,1719641220
104,ushuaia,-54.8,-68.3,-2.19,86,75,1.03,AR,1719641222
105,corumba,-19.0092,-57.6533,24.18,41,86,1.29,BR,1719641224
106,pyhajarvi,67.0701,27.2176,25.01,55,43,3.98,FI,1719641226
107,vilyuchinsk,52.9306,158.4028,21.15,61,94,1.02,RU,1719641230
108,borogontsy,62.6683,131.1683,21.94,32,80,2.88,RU,1719641231
109,isla mujeres,21.2311,-86.731,28.03,87,100,12.11,MX,1719641233
110,las lomitas,-24.7096,-60.593,14.6,45,100,4.59,AR,1719641235
111,kerikeri,-35.2268,173.9474,12.17,90,75,1.38,NZ,1719641237
112,massaguet,12.4755,15.4365,28.59,63,93,5.53,TD,1719641239
113,saint-pierre,-21.3393,55.4781,23.82,46,75,6.69,RE,1719641241
114,ribeira grande,38.5167,-28.7,20.99,88,7,0.89,PT,1719641242
115,mount pearl,47.5166,-52.7813,9.98,97,100,7.72,CA,1719641244
116,sompeta,18.9333,84.6,32.58,62,100,0.97,IN,1719641246
117,jamestown,42.097,-79.2353,24.77,73,40,3.09,US,1719641248
118,bushehr,28.9684,50.8385,39.05,27,0,3.09,IR,1719641249
119,valentin gomez farias,28.2167,-106.5833,22.26,63,93,5.33,MX,1719641251
120,san martin,-33.081,-68.4681,4.33,34,0,2.12,AR,1719641253
121,dryden,49.7833,-92.7503,11.16,100,100,5.14,CA,1719641255
122,gardnerville ranchos,38.8882,-119.7413,20.61,38,0,0.89,US,1719641256
123,tsiombe,-25.3,45.4833,19.13,58,0,3.36,MG,1719641258
124,tazovsky,67.4667,78.7,7.83,65,50,5.84,RU,1719641260
125,san andres,12.5847,-81.7006,28.01,83,20,2.06,CO,1719641261
126,puerto ayora,-0.7393,-90.3518,21.42,98,23,1.34,EC,1719641265
127,constantia,44.1833,28.65,29.38,52,0,5.5,RO,1719641266
128,moroni,-11.7022,43.2551,25.62,66,59,5.5,KM,1719641268
129,luganville,-15.5333,167.1667,24.69,78,52,5.26,VU,1719641270
130,hithadhoo,-0.6,73.0833,28.3,66,94,2.72,MV,1719641272
131,iskushuban,10.2837,50.23,32.42,36,86,14.98,SO,1719641273
132,whitehorse,60.7161,-135.0538,19.06,55,44,1.79,CA,1719641277
133,firmat,-33.4594,-61.4832,3.34,66,0,2.74,AR,1719641278
134,la sarre,48.8002,-79.1996,10.25,96,100,3.79,CA,1719641280
135,susuman,62.7833,148.1667,8.46,65,100,1.62,RU,1719641282
136,tiksi,71.6872,128.8694,16.45,36,6,4.51,RU,1719641283
137,kangding,30.0513,101.9603,19.18,89,100,1.79,CN,1719641285
138,kapuskasing,49.4169,-82.4331,10.86,99,100,3.42,CA,1719641287
139,kabompo,-13.5927,24.2008,12.52,71,1,2.88,ZM,1719641289
140,enshi,30.3,109.4833,31.1,61,59,0.8,CN,1719641290
141,akniste,56.1615,25.7478,20.25,85,97,4.17,LV,1719641292
142,petropavlovsk-kamchatsky,53.0452,158.6483,20.33,56,40,5.0,RU,1719641294
143,guiyang,26.5833,106.7167,20.46,94,100,2.08,CN,1719641295
144,huarmey,-10.0681,-78.1522,18.18,90,52,3.25,PE,1719641297
145,wailua homesteads,22.0669,-159.378,23.44,81,75,7.2,US,1719641299
146,akrehamn,59.2667,5.1833,13.56,76,40,7.72,NO,1719641300
147,bredasdorp,-34.5322,20.0403,16.42,43,39,2.58,ZA,1719641302
148,zaraza,9.3503,-65.3245,22.94,98,91,1.66,VE,1719641304
149,nhamunda,-2.1861,-56.7131,23.13,73,7,1.32,BR,1719641305
150,lorengau,-2.0226,147.2712,28.13,82,97,6.22,PG,1719641307
151,vadso,70.0744,29.7487,12.49,87,100,6.69,NO,1719641309
152,aktau,43.65,51.2,25.32,59,3,5.13,KZ,1719641310
153,ancud,-41.8697,-73.8203,5.53,82,76,0.71,CL,1719641314
154,west island,-12.1568,96.8225,28.99,74,20,7.2,CC,1719641316
155,road town,18.4167,-64.6167,28.05,72,38,8.72,VG,1719641317
